fecha,temp_min,temp_max
2026-07-01,17.0,31.0
2026-07-02,20.1,37.0
2026-07-03,16.8,28.6
2026-07-04,20.8,35.3
2026-07-05,22.3,36.7
2026-07-06,21.8,37.9
2026-07-07,22.0,36.7
2026-07-08,17.9,32.8
2026-07-09,16.9,33.4
2026-07-10,19.6,36.1
2026-07-11,21.5,36.9
2026-07-12,17.7,29.7
2026-07-13,23.8,41.2
2026-07-14,22.4,40.4
2026-07-15,20.1,30.7
2026-07-16,18.7,33.2
2026-07-17,18.3,32.0
2026-07-18,23.0,38.6
2026-07-19,20.6,30.8
2026-07-20,21.7,34.6
2026-07-21,19.4,32.6
2026-07-22,20.7,34.7
2026-07-23,16.9,31.0
2026-07-24,22.0,36.8
2026-07-25,19.9,37.2
2026-07-26,18.1,31.5
2026-07-27,23.4,37.2
2026-07-28,20.1,30.3
2026-07-29,17.8,28.8
2026-07-30,16.4,32.0
2026-07-31,23.1,33.9
